videoId,FPS
Tulamben2_Jun2022_0005,29.97
Tulamben2_Jun2022_0032,29.97
NusaPenida_Jul2022_0049,29.97
Oahu1_Jul2022_0059,29.97
Oahu2_Jul2022_0032,29.97
GreenEgg_Sep2021_0020,30.0
NusaPenida_Jul2022_0048,29.97
Oahu_Jul2022_0039,29.97
Molokini_Jul2022_0020,29.97
Oahu2_Jul2022_0014,29.97
Lanai_Jul2022_0067,29.97
Tulamben1_Jun2022_0089,29.97
Oahu_Jul2022_0033,29.97
Tulamben2_Jun2022_0008,29.97
Keramas_Feb2020_0026,30.0
Molokai_Jul2022_0045,29.97
Oahu2_Jul2022_0044,29.97
Tulamben_Jun2022_0069,29.97
Oahu_Jul2022_0019,29.97
RajaAmpat_Jan2013_0002,23.976
Lanai_Jul2022_0074,29.97
Tulamben1_Jun2022_0025,29.97
Oahu2_Jul2022_0045,29.97
Manza_Feb2020_0058,30.0
Padangbai_Jun2022_0045,29.97
Lanai_Jul2022_0061,29.97
PhuQuoc1_Jun2022_0071,29.97
Lanai_Jul2022_0055,29.97
Silverstrand_Aug2022_0028,60.0
Molokini_Jul2022_0001,29.97
NusaPenida_Jul2022_0057,29.97
Oahu_Jul2022_0034,29.97
Oahu1_Jul2022_0019,29.97
Tulamben1_Jun2022_0095,29.97
PhuQuoc1_Jun2022_0055,29.97
NusaPenida_Jul2022_0020,29.97
Oahu_Jul2022_0043,29.97
Tulamben1_Jun2022_0051,29.97
Oahu2_Jul2022_0038,29.97
PhuQuoc_Jun2022_0007,29.97
Okinawa_Feb2020_0014,30.0
Sipadan_Jan2015_0006,23.976
Tulamben2_Jun2022_0009,29.97
Tulamben_Jun2022_0048,29.97
PhuQuoc1_Jun2022_0015,29.97
NusaPenida_Jul2022_0039,29.97
Oahu2_Jul2022_0034,29.97
Okinawa_Feb2020_0025,30.0
Oahu1_Jul2022_0024,29.97
Padangbai_Jun2022_0058,29.97
Oahu1_Jul2022_0032,29.97
Padangbai_Jun2022_0070,29.97
Tulamben1_Jun2022_0001,29.97
Lanai_Jul2022_0112,29.97
PhuQuoc1_Jun2022_0012,29.97
Silverstrand_Aug2022_0006,30.0
Maldives_Dec2019_0009,30.0
Tulamben1_Jun2022_0044,29.97
Jeju_Jul2022_0020,29.97
Manza_Feb2020_0057,30.0
Manza_Feb2020_0003,30.0
Fiji_Jan2011_0001,30.0
Molokai_Jul2022_0038,29.97
Padangbai_Jun2022_0066,29.97
PhuQuoc_Jun2022_0034,29.97
Tulamben1_Jun2022_0093,29.97
Molokini_Jul2022_0027,29.97
Oahu1_Jul2022_0043,29.97
PhuQuoc1_Jun2022_0046,29.97
Maldives_Dec2019_0021,25.0
Tulamben_Jun2022_0046,29.97
NusaPenida_Jul2022_0022,29.97
Lanai_Jul2022_0108,29.97
Padangbai_Jun2022_0031,29.97
Tulamben2_Jun2022_0038,29.97
KauSaiWan_Oct2022_0006,30.0
Padangbai_Jun2022_0065,29.97
Tulamben_Jun2022_0022,29.97
Dapang_Jul2022_0004,30.0
PhuQuoc1_Jun2022_0050,29.97
Jeju_Jul2022_0032,30.0
Molokini_Jul2022_0021,29.97
Keramas_Feb2020_0001,30.0
Lanai_Jul2022_0075,29.97
Tulamben2_Jun2022_0058,29.97
Tulamben_Jun2022_0079,29.97
Oahu_Jul2022_0028,29.97
Tulamben_Jun2022_0100,29.97
Okinawa_Feb2020_0010,30.0
