video,segment,start,startframe,end,endframe
Tulamben2_Jun2022_0005,1,0,0,1000,29
Tulamben2_Jun2022_0005,2,1000,29,2000,59
Tulamben2_Jun2022_0005,3,2000,59,3000,89
Tulamben2_Jun2022_0005,4,3000,89,4000,119
Tulamben2_Jun2022_0005,5,4000,119,5000,149
Tulamben2_Jun2022_0005,6,5000,149,6000,179
Tulamben2_Jun2022_0005,7,6000,179,7000,209
Tulamben2_Jun2022_0005,8,7000,209,8000,239
Tulamben2_Jun2022_0005,9,8000,239,9000,269
Tulamben2_Jun2022_0005,10,9000,269,10000,299
Tulamben2_Jun2022_0005,11,10000,299,11000,329
Tulamben2_Jun2022_0005,12,11000,329,12000,359
Tulamben2_Jun2022_0005,13,12000,359,13000,389
Tulamben2_Jun2022_0005,14,13000,389,14000,419
Tulamben2_Jun2022_0005,15,14000,419,15000,449
Tulamben2_Jun2022_0005,16,15000,449,15520,465
Tulamben2_Jun2022_0032,1,0,0,1000,29
Tulamben2_Jun2022_0032,2,1000,29,2000,59
Tulamben2_Jun2022_0032,3,2000,59,3000,89
Tulamben2_Jun2022_0032,4,3000,89,4000,119
Tulamben2_Jun2022_0032,5,4000,119,5000,149
Tulamben2_Jun2022_0032,6,5000,149,6000,179
Tulamben2_Jun2022_0032,7,6000,179,7000,209
Tulamben2_Jun2022_0032,8,7000,209,8000,239
Tulamben2_Jun2022_0032,9,8000,239,9000,269
Tulamben2_Jun2022_0032,10,9000,269,10000,299
Tulamben2_Jun2022_0032,11,10000,299,11000,329
Tulamben2_Jun2022_0032,12,11000,329,12000,359
Tulamben2_Jun2022_0032,13,12000,359,13000,389
Tulamben2_Jun2022_0032,14,13000,389,14000,419
Tulamben2_Jun2022_0032,15,14000,419,15000,449
Tulamben2_Jun2022_0032,16,15000,449,16000,479
Tulamben2_Jun2022_0032,17,16000,479,17000,509
Tulamben2_Jun2022_0032,18,17000,509,18000,539
Tulamben2_Jun2022_0032,19,18000,539,19000,569
Tulamben2_Jun2022_0032,20,19000,569,20000,599
Tulamben2_Jun2022_0032,21,20000,599,21000,629
Tulamben2_Jun2022_0032,22,21000,629,22000,659
Tulamben2_Jun2022_0032,23,22000,659,23000,689
Tulamben2_Jun2022_0032,24,23000,689,24000,719
Tulamben2_Jun2022_0032,25,24000,719,25000,749
Tulamben2_Jun2022_0032,26,25000,749,26000,779
Tulamben2_Jun2022_0032,27,26000,779,27000,809
Tulamben2_Jun2022_0032,28,27000,809,28000,839
Tulamben2_Jun2022_0032,29,28000,839,29000,869
Tulamben2_Jun2022_0032,30,29000,869,30000,899
Tulamben2_Jun2022_0032,31,30000,899,31000,929
Tulamben2_Jun2022_0032,32,31000,929,32000,959
Tulamben2_Jun2022_0032,33,32000,959,33000,989
Tulamben2_Jun2022_0032,34,33000,989,34000,1018
Tulamben2_Jun2022_0032,35,34000,1018,35000,1048
Tulamben2_Jun2022_0032,36,35000,1048,36000,1078
Tulamben2_Jun2022_0032,37,36000,1078,37000,1108
Tulamben2_Jun2022_0032,38,37000,1108,38000,1138
Tulamben2_Jun2022_0032,39,38000,1138,39000,1168
Tulamben2_Jun2022_0032,40,39000,1168,40000,1198
Tulamben2_Jun2022_0032,41,40000,1198,41000,1228
Tulamben2_Jun2022_0032,42,41000,1228,42000,1258
Tulamben2_Jun2022_0032,43,42000,1258,43000,1288
Tulamben2_Jun2022_0032,44,43000,1288,44000,1318
Tulamben2_Jun2022_0032,45,44000,1318,45000,1348
Tulamben2_Jun2022_0032,46,45000,1348,46000,1378
Tulamben2_Jun2022_0032,47,46000,1378,47000,1408
Tulamben2_Jun2022_0032,48,47000,1408,48000,1438
Tulamben2_Jun2022_0032,49,48000,1438,49000,1468
Tulamben2_Jun2022_0032,50,49000,1468,50000,1498
NusaPenida_Jul2022_0049,1,0,0,1000,29
NusaPenida_Jul2022_0049,2,1000,29,2000,59
NusaPenida_Jul2022_0049,3,2000,59,3000,89
NusaPenida_Jul2022_0049,4,3000,89,4000,119
NusaPenida_Jul2022_0049,5,4000,119,5000,149
NusaPenida_Jul2022_0049,6,5000,149,6000,179
NusaPenida_Jul2022_0049,7,6000,179,7000,209
NusaPenida_Jul2022_0049,8,7000,209,8000,239
NusaPenida_Jul2022_0049,9,8000,239,9000,269
NusaPenida_Jul2022_0049,10,9000,269,10000,299
NusaPenida_Jul2022_0049,11,10000,299,11000,329
NusaPenida_Jul2022_0049,12,11000,329,12000,359
NusaPenida_Jul2022_0049,13,12000,359,13000,389
NusaPenida_Jul2022_0049,14,13000,389,14000,419
NusaPenida_Jul2022_0049,15,14000,419,15000,449
NusaPenida_Jul2022_0049,16,15000,449,16000,479
NusaPenida_Jul2022_0049,17,16000,479,17000,509
NusaPenida_Jul2022_0049,18,17000,509,18000,539
NusaPenida_Jul2022_0049,19,18000,539,19000,569
NusaPenida_Jul2022_0049,20,19000,569,20000,599
NusaPenida_Jul2022_0049,21,20000,599,21000,629
NusaPenida_Jul2022_0049,22,21000,629,22000,659
NusaPenida_Jul2022_0049,23,22000,659,23000,689
NusaPenida_Jul2022_0049,24,23000,689,24000,719
NusaPenida_Jul2022_0049,25,24000,719,25000,749
NusaPenida_Jul2022_0049,26,25000,749,26000,779
NusaPenida_Jul2022_0049,27,26000,779,27000,809
NusaPenida_Jul2022_0049,28,27000,809,28000,839
NusaPenida_Jul2022_0049,29,28000,839,29000,869
NusaPenida_Jul2022_0049,30,29000,869,29930,897
Oahu1_Jul2022_0059,1,0,0,1000,29
Oahu1_Jul2022_0059,2,1000,29,2000,59
Oahu1_Jul2022_0059,3,2000,59,3000,89
Oahu1_Jul2022_0059,4,3000,89,4000,119
Oahu1_Jul2022_0059,5,4000,119,5000,149
Oahu1_Jul2022_0059,6,5000,149,6000,179
Oahu1_Jul2022_0059,7,6000,179,7000,209
Oahu1_Jul2022_0059,8,7000,209,8000,239
Oahu1_Jul2022_0059,9,8000,239,9000,269
Oahu1_Jul2022_0059,10,9000,269,10000,299
Oahu1_Jul2022_0059,11,10000,299,11000,329
Oahu1_Jul2022_0059,12,11000,329,11340,339
Oahu2_Jul2022_0032,1,0,0,1000,29
Oahu2_Jul2022_0032,2,1000,29,2000,59
Oahu2_Jul2022_0032,3,2000,59,3000,89
Oahu2_Jul2022_0032,4,3000,89,4000,119
Oahu2_Jul2022_0032,5,4000,119,5000,149
Oahu2_Jul2022_0032,6,5000,149,6000,179
Oahu2_Jul2022_0032,7,6000,179,7000,209
Oahu2_Jul2022_0032,8,7000,209,8000,239
Oahu2_Jul2022_0032,9,8000,239,9000,269
Oahu2_Jul2022_0032,10,9000,269,10000,299
Oahu2_Jul2022_0032,11,10000,299,11000,329
Oahu2_Jul2022_0032,12,11000,329,12000,359
Oahu2_Jul2022_0032,13,12000,359,13000,389
Oahu2_Jul2022_0032,14,13000,389,14000,419
Oahu2_Jul2022_0032,15,14000,419,15000,449
Oahu2_Jul2022_0032,16,15000,449,16000,479
Oahu2_Jul2022_0032,17,16000,479,17000,509
Oahu2_Jul2022_0032,18,17000,509,18000,539
Oahu2_Jul2022_0032,19,18000,539,19000,569
Oahu2_Jul2022_0032,20,19000,569,20000,599
Oahu2_Jul2022_0032,21,20000,599,21000,629
Oahu2_Jul2022_0032,22,21000,629,22000,659
Oahu2_Jul2022_0032,23,22000,659,23000,689
Oahu2_Jul2022_0032,24,23000,689,24000,719
Oahu2_Jul2022_0032,25,24000,719,25000,749
Oahu2_Jul2022_0032,26,25000,749,26000,779
Oahu2_Jul2022_0032,27,26000,779,27000,809
Oahu2_Jul2022_0032,28,27000,809,28000,839
Oahu2_Jul2022_0032,29,28000,839,29000,869
Oahu2_Jul2022_0032,30,29000,869,30000,899
GreenEgg_Sep2021_0020,1,0,0,1000,30
GreenEgg_Sep2021_0020,2,1000,30,2000,60
GreenEgg_Sep2021_0020,3,2000,60,3000,90
GreenEgg_Sep2021_0020,4,3000,90,4000,120
GreenEgg_Sep2021_0020,5,4000,120,5000,150
GreenEgg_Sep2021_0020,6,5000,150,6000,180
GreenEgg_Sep2021_0020,7,6000,180,7000,210
GreenEgg_Sep2021_0020,8,7000,210,8000,240
GreenEgg_Sep2021_0020,9,8000,240,9000,270
GreenEgg_Sep2021_0020,10,9000,270,10000,300
GreenEgg_Sep2021_0020,11,10000,300,11000,330
GreenEgg_Sep2021_0020,12,11000,330,12000,360
GreenEgg_Sep2021_0020,13,12000,360,13000,390
GreenEgg_Sep2021_0020,14,13000,390,14000,420
GreenEgg_Sep2021_0020,15,14000,420,15000,450
GreenEgg_Sep2021_0020,16,15000,450,16000,480
GreenEgg_Sep2021_0020,17,16000,480,17000,510
GreenEgg_Sep2021_0020,18,17000,510,18000,540
GreenEgg_Sep2021_0020,19,18000,540,19000,570
GreenEgg_Sep2021_0020,20,19000,570,19290,578
NusaPenida_Jul2022_0048,1,0,0,1000,29
NusaPenida_Jul2022_0048,2,1000,29,2000,59
NusaPenida_Jul2022_0048,3,2000,59,3000,89
NusaPenida_Jul2022_0048,4,3000,89,4000,119
NusaPenida_Jul2022_0048,5,4000,119,5000,149
NusaPenida_Jul2022_0048,6,5000,149,6000,179
NusaPenida_Jul2022_0048,7,6000,179,7000,209
NusaPenida_Jul2022_0048,8,7000,209,8000,239
NusaPenida_Jul2022_0048,9,8000,239,9000,269
NusaPenida_Jul2022_0048,10,9000,269,10000,299
NusaPenida_Jul2022_0048,11,10000,299,11000,329
NusaPenida_Jul2022_0048,12,11000,329,12000,359
NusaPenida_Jul2022_0048,13,12000,359,13000,389
NusaPenida_Jul2022_0048,14,13000,389,14000,419
NusaPenida_Jul2022_0048,15,14000,419,15000,449
NusaPenida_Jul2022_0048,16,15000,449,16000,479
NusaPenida_Jul2022_0048,17,16000,479,17000,509
NusaPenida_Jul2022_0048,18,17000,509,18000,539
NusaPenida_Jul2022_0048,19,18000,539,19000,569
NusaPenida_Jul2022_0048,20,19000,569,20000,599
NusaPenida_Jul2022_0048,21,20000,599,21000,629
NusaPenida_Jul2022_0048,22,21000,629,22000,659
NusaPenida_Jul2022_0048,23,22000,659,23000,689
NusaPenida_Jul2022_0048,24,23000,689,24000,719
NusaPenida_Jul2022_0048,25,24000,719,24620,737
Oahu_Jul2022_0039,1,0,0,1000,29
Oahu_Jul2022_0039,2,1000,29,2000,59
Oahu_Jul2022_0039,3,2000,59,3000,89
Oahu_Jul2022_0039,4,3000,89,4000,119
Oahu_Jul2022_0039,5,4000,119,5000,149
Oahu_Jul2022_0039,6,5000,149,6000,179
Oahu_Jul2022_0039,7,6000,179,7000,209
Oahu_Jul2022_0039,8,7000,209,8000,239
Oahu_Jul2022_0039,9,8000,239,9000,269
Oahu_Jul2022_0039,10,9000,269,10000,299
Oahu_Jul2022_0039,11,10000,299,11000,329
Oahu_Jul2022_0039,12,11000,329,12000,359
Oahu_Jul2022_0039,13,12000,359,13000,389
Oahu_Jul2022_0039,14,13000,389,14000,419
Oahu_Jul2022_0039,15,14000,419,15000,449
Oahu_Jul2022_0039,16,15000,449,16000,479
Oahu_Jul2022_0039,17,16000,479,17000,509
Oahu_Jul2022_0039,18,17000,509,18000,539
Oahu_Jul2022_0039,19,18000,539,19000,569
Oahu_Jul2022_0039,20,19000,569,20000,599
Oahu_Jul2022_0039,21,20000,599,21000,629
Oahu_Jul2022_0039,22,21000,629,22000,659
Oahu_Jul2022_0039,23,22000,659,22320,668
Molokini_Jul2022_0020,1,0,0,1000,29
Molokini_Jul2022_0020,2,1000,29,2000,59
Molokini_Jul2022_0020,3,2000,59,3000,89
Molokini_Jul2022_0020,4,3000,89,4000,119
Molokini_Jul2022_0020,5,4000,119,5000,149
