,,,T_01,T_02,T_03,T_06,T_07,T_08,T_09,T_10,T_11,T_12,V_01,V_02,V_03,V_04,V_05,V_06,V_07,V_08,V_09,V_10,V_11,V_12,V_13
vibro,correct frame,rank,3,1,1,16,14,1,5,13,8,1,62,73,11,11,44,235,177,6,1,30,9,12,-
vibro,correct frame,time,58s,402s,8s,84s,5s,40s,17s,50s,94s,27s,31s,45s,52s,52s,46s,33s,29s,64s,30s,56s,63s,26s,-
vibro,frame in GT+2x5s,rank,3s,1s,1s,16s,14s,1s,5s,13s,8s,1s,62s,73s,11s,11s,44s,14s,27s,6s,1s,30s,9s,12s,-
vibro,frame in GT+2x5s,time,58,402,8,84,5,40,17,50,94,27,31,45,52,52,46,35,47,64,30,56,63,26,-
vibro,correct video,rank,1,1,1,16,14,1,5,13,8,1,62,49,8,11,36,14,7,6,1,30,9,12,1
vibro,correct video,time,22s,402s,8s,84s,5s,40s,17s,50s,94s,27s,31s,58s,52s,52s,72s,35s,29s,64s,30s,56s,63s,26s,18s
vibro,correct submission,time,175s,-,35s,93s,14s,46s,34s,75s,123s,37s,62s,116s,109s,63s,118s,137s,77s,93s,59s,65s,69s,30s,63s
VISIONE,correct frame,rank,87,1,3,454,1,1,2,9,2,11,5,104,88,9,122,12,751,13,10,9,8,4,179
VISIONE,correct frame,time,8s,12s,145s,211s,15s,17s,12s,14s,339s,11s,66s,46s,28s,33s,87s,35s,27s,36s,40s,53s,16s,234s,15s
VISIONE,frame in GT+2x5s,rank,87s,1s,3s,454s,1s,1s,2s,9s,1s,11s,5s,24s,44s,8s,122s,11s,751s,13s,10s,9s,8s,4s,179s
VISIONE,frame in GT+2x5s,time,8,12,145,211,15,17,12,14,339,11,66,25,46,33,87,35,27,36,40,53,16,234,15
VISIONE,correct video,rank,6,1,3,22,1,1,2,9,1,11,5,1,25,5,7,11,7,13,10,9,8,4,1
VISIONE,correct video,time,8s,12s,145s,301s,15s,17s,12s,14s,339s,11s,66s,46s,53s,33s,41s,35s,27s,36s,40s,53s,16s,234s,15s
VISIONE,correct submission,time,38s,214s,154s,-,29s,54s,29s,27s,-,67s,72s,80s,91s,53s,247s,47s,30s,46s,51s,56s,20s,242s,29s
CVHunter,correct frame,rank,2,14,1,259,1,2,2,1,87,6,37,77,6,22,44,6,2,9,5,1,-,2,239
CVHunter,correct frame,time,19s,43s,14s,25s,15s,267s,22s,19s,391s,39s,159s,93s,35s,72s,191s,110s,69s,191s,43s,22s,-,18s,15s
CVHunter,frame in GT+2x5s,rank,2s,14s,1s,259s,1s,2s,2s,1s,87s,6s,37s,77s,6s,22s,44s,6s,2s,9s,5s,1s,442s,2s,239s
CVHunter,frame in GT+2x5s,time,19,43,14,25,15,267,22,19,391,39,159,93,35,72,191,110,69,191,43,22,21,18,15
CVHunter,correct video,rank,2,14,1,259,1,2,2,1,87,6,37,77,6,22,1,1,1,9,5,1,27,2,2
CVHunter,correct video,time,19s,43s,14s,25s,15s,267s,22s,19s,391s,39s,159s,93s,35s,72s,191s,110s,31s,191s,43s,22s,21s,18s,15s
CVHunter,correct submission,time,33s,173s,33s,-,23s,277s,26s,24s,412s,62s,178s,119s,39s,85s,213s,194s,76s,197s,55s,29s,34s,23s,35s
VERGE,correct frame,rank,45,23,445,-,11,126,3,1,120,22,680,4,69,45,58,191,9,6,5,15,548,39,-
