task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals
vbs23-kis-v1,HTW,0,1673259650000,36687,43981.0,1.0,1.0,1.0,10000.0,TEXT,jointEmbedding,Man in pink closest standing a basketball stadium,{}
vbs23-kis-t1,HTW,0,1673260401000,28139,36751.0,1.0,1.0,1.0,10000.0,TEXT,jointEmbedding," Kids in kayaks on a river, throwing paddles through three coloured hoops placed over the water. ",{}
vbs23-kis-t2,HTW,0,1673260903000,6356,26109.0,1.0,1.0,1.0,10000.0,TEXT,jointEmbedding, Hands of a kid applying glue to an egg carton and then a view of a sculpture made of those cartons. ,{}
vbs23-kis-t3,HTW,0,1673261414000,12701,394938.0,670.0,670.0,670.0,10000.0,TEXT,jointEmbedding, A view through the glass roof of a lift cabin while it is moving upwards. ,{}
vbs23-kis-t3,HTW,0,1673261434000,32701,394938.0,75.0,75.0,75.0,10000.0,IMAGE,globalFeatures, video 14479 at 00:08:18.500 (Frame #12462),{}
vbs23-kis-t3,HTW,1,1673261434000,32701,394938.0,75.0,75.0,75.0,10000.0,TEXT,jointEmbedding,a view trough the glass roof of a lift while it is moving upwards,{}
vbs23-kis-t3,HTW,0,1673261439000,37701,394938.0,670.0,670.0,670.0,10000.0,TEXT,jointEmbedding, A view through the glass roof of a lift cabin while it is moving upwards. ,{}
vbs23-kis-t3,HTW,0,1673261466000,64701,394938.0,502.0,502.0,502.0,10000.0,TEXT,jointEmbedding,A  glass lift cabin while it is moving upwards. ,{}
vbs23-kis-t3,HTW,0,1673261527000,125701,394938.0,3687.0,inf,inf,10000.0,TEXT,jointEmbedding,A view through glass of a lift cabin while it is moving upwards. ,{}
vbs23-kis-t3,HTW,0,1673261571000,169701,394938.0,141.0,276.0,276.0,10000.0,TEXT,jointEmbedding,Two lift cabin made of class with the wire in the middle.,{}
vbs23-kis-t3,HTW,0,1673261631000,229701,394938.0,546.0,1039.0,1039.0,10000.0,IMAGE,globalFeatures, video 00479 at 00:04:21.000 (Frame #6264),{}
vbs23-kis-t3,HTW,0,1673261654000,252701,394938.0,185.0,295.0,295.0,10000.0,IMAGE,globalFeatures, video 00479 at 00:04:21.000 (Frame #6264),{}
vbs23-kis-t3,HTW,0,1673261674000,272701,394938.0,65.0,65.0,65.0,10000.0,IMAGE,globalFeatures, video 00479 at 00:04:21.000 (Frame #6264),{}
vbs23-kis-t3,HTW,0,1673261733000,331701,394938.0,981.0,981.0,981.0,10000.0,IMAGE,globalFeatures, video 13924 at 00:02:02.000 (Frame #3660),{}
vbs23-kis-t3,HTW,0,1673261747000,345701,394938.0,36.0,36.0,36.0,10000.0,IMAGE,globalFeatures, video 13924 at 00:02:02.000 (Frame #3660),{}
vbs23-kis-t3,HTW,0,1673261750000,348701,394938.0,22.0,22.0,22.0,10000.0,IMAGE,globalFeatures, video 13924 at 00:02:02.000 (Frame #3660),{}
vbs23-kis-t3,HTW,0,1673261751000,349701,394938.0,22.0,22.0,22.0,10000.0,IMAGE,globalFeatures, video 13924 at 00:02:02.000 (Frame #3660),{}
vbs23-kis-t4,HTW,0,1673262329000,6245,155274.0,69.0,inf,inf,10000.0,TEXT,jointEmbedding," A two-masted sailing ship leaves a harbour, moving right behind a stone wall and a white light beacon. ",{}
vbs23-kis-t4,HTW,0,1673262414000,91245,155274.0,647.0,647.0,647.0,10000.0,IMAGE,globalFeatures, video 05296 at 00:02:51.500 (Frame #5145),{}
vbs23-kis-t4,HTW,0,1673262444000,121245,155274.0,1399.0,2266.0,2266.0,10000.0,TEXT,jointEmbedding,"There are mountains in the background, and the sun is behind clouds",{}
vbs23-kis-t5,HTW,0,1673262854000,27388,149663.0,128.0,5448.0,5448.0,10000.0,IMAGE,globalFeatures, video 05296 at 00:02:51.500 (Frame #5145),{}
vbs23-kis-t5,HTW,0,1673262856000,29388,149663.0,116.0,116.0,116.0,10000.0,TEXT,jointEmbedding,bride and groom walking and guests following them.,{}
vbs23-kis-t5,HTW,0,1673262906000,79388,149663.0,1.0,104.0,9.0,10000.0,TEXT,jointEmbedding,"The bride has a blue bow around her waist, and a white/blue flower bouquet",{}
vbs23-kis-t5,HTW,0,1673262931000,104388,149663.0,4.0,4.0,4.0,10000.0,IMAGE,globalFeatures, video 05722 at 00:03:39.500 (Frame #5487),{}
vbs23-kis-t6,HTW,0,1673264174000,10626,29069.0,959.0,959.0,959.0,10000.0,TEXT,jointEmbedding,two people and a wall with posters,{}
vbs23-kis-v-m1,HTW,0,1673270891000,16145,26522.0,8.0,8.0,8.0,10000.0,TEXT,jointEmbedding,ship wreck with a fish a blue water,{}
vbs23-kis-v-m1,HTW,1,1673270891000,16145,26522.0,8.0,8.0,8.0,10000.0,TEXT,jointEmbedding,diver next to a shipwreck,{}
vbs23-kis-v-m2,HTW,0,1673271264000,13638,45672.0,4.0,176.0,19.0,10000.0,TEXT,jointEmbedding,A diver in red water near a wall.,{}
vbs23-kis-v-m3,HTW,0,1673271630000,6343,24472.0,14.0,14.0,14.0,10000.0,TEXT,jointEmbedding,Corals with a snake inside.,{}
vbs23-kis-v-m4,HTW,0,1673272391000,17815,211429.0,1168.0,4255.0,2859.0,10000.0,TEXT,jointEmbedding,Corals a lot of fish,{}
vbs23-kis-t3,HTW,0,1673261667000,265701,394938.0,57.0,57.0,57.0,10000.0,IMAGE,globalFeatures, video 00479 at 00:04:21.000 (Frame #6264),{}
vbs23-kis-v-m4,HTW,0,1673272396000,22815,211429.0,959.0,1366.0,959.0,10000.0,TEXT,jointEmbedding,Corals a lot of fish in blue water.,{}
vbs23-kis-v5,HTW,0,1673278564000,17759,44588.0,132.0,inf,570.0,10000.0,TEXT,jointEmbedding,A blue river running trough white stone and trees.,{}
vbs23-kis-v6,HTW,0,1673278995000,107891,,89.0,913.0,913.0,10000.0,IMAGE,globalFeatures, video 03293 at 00:00:09.500 (Frame #228),{}
vbs23-kis-v6,HTW,1,1673278995000,107891,,89.0,913.0,913.0,10000.0,IMAGE,globalFeatures, video 07852 at 00:04:01.500 (Frame #6037),{}
vbs23-kis-v6,HTW,0,1673279179000,291891,,6.0,30.0,30.0,10000.0,IMAGE,globalFeatures, video 07385 at 00:02:24.000 (Frame #3600),{}
vbs23-kis-v-m4,HTW,0,1673272422000,48815,211429.0,35.0,35.0,35.0,10000.0,IMAGE,globalFeatures, video PhuQuoc1_Jun2022_0032 at 00:00:23.000 (Frame #689),{}
vbs23-kis-v-m4,HTW,0,1673272439000,65815,211429.0,18.0,18.0,18.0,10000.0,IMAGE,globalFeatures, video NusaPenida_Jul2022_0070 at 00:00:27.000 (Frame #809),{}
vbs23-kis-v-m4,HTW,1,1673272439000,65815,211429.0,18.0,18.0,18.0,10000.0,TEXT,jointEmbedding,fishes over red corals ,{}
vbs23-kis-v-m4,HTW,0,1673272467000,93815,211429.0,5.0,5.0,5.0,10000.0,IMAGE,globalFeatures, video NusaPenida_Jul2022_0048 at 00:00:23.000 (Frame #689),{}
vbs23-kis-v-m4,HTW,0,1673272492000,118815,211429.0,23.0,23.0,23.0,10000.0,IMAGE,globalFeatures, video NusaPenida_Jul2022_0045 at 00:00:06.500 (Frame #194),{}
vbs23-kis-v-m4,HTW,0,1673272524000,150815,211429.0,1880.0,3648.0,1880.0,10000.0,TEXT,jointEmbedding,Blue water and corals,{}
vbs23-kis-v-m4,HTW,0,1673272547000,173815,211429.0,21.0,21.0,21.0,10000.0,TEMPORAL,text > text,Corals a lot of fish in blue water.  >  Blue water and corals,{}
vbs23-kis-v-m4,HTW,0,1673272551000,177815,211429.0,17.0,17.0,17.0,10000.0,TEMPORAL,text > text,Corals a lot of fish in blue water.  >  Blue water and corals,{}
