task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals
vbs23-kis-v1,VIREO,0,1673259634037,20724,48547.0,794.0,inf,inf,1000.0,,,,
vbs23-kis-v1,VIREO,0,1673259636735,23422,48547.0,300.0,inf,inf,1000.0,,,,
vbs23-kis-v1,VIREO,0,1673259649218,35905,48547.0,260.0,inf,inf,1000.0,,,,
vbs23-kis-t1,VIREO,0,1673260405338,32477,166258.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t1,VIREO,0,1673260449743,76882,166258.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t1,VIREO,0,1673260481225,108364,166258.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673260933178,36534,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673260936730,40086,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673260938832,42188,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673260943575,46931,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673260987449,90805,,894.0,894.0,894.0,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261005911,109267,,499.0,499.0,499.0,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261018658,122014,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261026184,129540,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261032603,135959,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261060205,163561,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261085278,188634,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261119760,223116,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261124681,228037,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261151695,255051,,578.0,578.0,578.0,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261199540,302896,,332.0,332.0,332.0,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261210794,314150,,317.0,317.0,317.0,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261213020,316376,,176.0,176.0,176.0,1000.0,,,,
vbs23-kis-v-m1,VIREO,0,1673270889455,14600,42991.0,71.0,inf,602.0,1000.0,,,,
vbs23-kis-v-m1,VIREO,0,1673270907244,32389,42991.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m1,VIREO,0,1673270909591,34736,42991.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m1,VIREO,0,1673270917724,42869,42991.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m2,VIREO,0,1673271269939,19577,109979.0,78.0,78.0,78.0,1000.0,,,,
vbs23-kis-v-m2,VIREO,0,1673271279379,29017,109979.0,78.0,78.0,78.0,1000.0,,,,
vbs23-kis-v-m2,VIREO,0,1673271280688,30326,109979.0,232.0,232.0,232.0,1000.0,,,,
vbs23-kis-v-m2,VIREO,0,1673271282658,32296,109979.0,78.0,78.0,78.0,1000.0,,,,
vbs23-kis-v-m3,VIREO,0,1673271654302,30645,100649.0,106.0,inf,106.0,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276022747,26599,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276032119,35971,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276076827,80679,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276087669,91521,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276092823,96675,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276098702,102554,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276100976,104828,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276138047,141899,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v2,VIREO,0,1673276154519,158371,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v3,VIREO,0,1673276437146,30275,33964.0,1.0,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,0,1673261242258,345614,,204.0,204.0,204.0,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261426614,25315,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261431177,29878,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261444328,43029,,167.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261464793,63494,,137.0,inf,137.0,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261467575,66276,,185.0,374.0,185.0,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261491553,90254,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261584789,183490,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261617700,216401,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261633979,232680,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261681066,279767,,64.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261683875,282576,,76.0,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261690312,289013,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261696471,295172,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261703799,302500,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261748482,347183,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261760598,359299,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261793697,392398,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261799308,398009,,inf,inf,inf,1000.0,,,,
vbs23-kis-t3,VIREO,0,1673261811660,410361,,256.0,inf,inf,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262341789,19034,253492.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262348779,26024,253492.0,274.0,274.0,274.0,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262352891,30136,253492.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262355813,33058,253492.0,367.0,367.0,367.0,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262365966,43211,253492.0,204.0,204.0,204.0,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262388177,65422,253492.0,295.0,295.0,295.0,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262432835,110080,253492.0,141.0,141.0,141.0,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262445420,122665,253492.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262476852,154097,253492.0,354.0,inf,inf,1000.0,,,,
vbs23-kis-t4,VIREO,0,1673262509431,186676,253492.0,20.0,20.0,20.0,1000.0,,,,
vbs23-kis-t5,VIREO,0,1673262843236,16624,122345.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t5,VIREO,0,1673262855938,29326,122345.0,189.0,inf,inf,1000.0,,,,
vbs23-kis-t5,VIREO,0,1673262888663,62051,122345.0,283.0,inf,inf,1000.0,,,,
vbs23-kis-t5,VIREO,0,1673262923425,96813,122345.0,52.0,inf,inf,1000.0,,,,
vbs23-kis-v4,VIREO,0,1673277188609,11396,45771.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v4,VIREO,0,1673277196797,19584,45771.0,188.0,188.0,188.0,1000.0,,,,
vbs23-kis-t7,VIREO,0,1673277554417,22883,191328.0,13.0,inf,inf,1000.0,,,,
vbs23-kis-t7,VIREO,0,1673277555200,23666,191328.0,13.0,inf,inf,1000.0,,,,
vbs23-kis-t7,VIREO,0,1673277704061,172527,191328.0,2.0,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278558248,12007,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278574722,28481,177801.0,129.0,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278582200,35959,177801.0,6.0,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278591085,44844,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278595927,49686,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278600996,54755,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278605813,59572,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278628808,82567,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,0,1673278657044,110803,177801.0,12.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673278897745,10636,196912.0,97.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673278907819,20710,196912.0,97.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673278983271,96162,196912.0,102.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673279015729,128620,196912.0,91.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673279022908,135799,196912.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673279026871,139762,196912.0,91.0,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673279027534,140425,196912.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v6,VIREO,0,1673279029649,142540,196912.0,91.0,inf,inf,1000.0,,,,
vbs23-kis-v-m4,VIREO,0,1673272393633,20448,182912.0,803.0,inf,inf,1000.0,,,,
vbs23-kis-v-m4,VIREO,0,1673272407525,34340,182912.0,929.0,inf,inf,1000.0,,,,
vbs23-kis-v-m4,VIREO,0,1673272409116,35931,182912.0,929.0,inf,inf,1000.0,,,,
vbs23-kis-v-m4,VIREO,0,1673272414003,40818,182912.0,842.0,inf,inf,1000.0,,,,
vbs23-kis-v-m4,VIREO,0,1673272415937,42752,182912.0,269.0,inf,inf,1000.0,,,,
vbs23-kis-v-m4,VIREO,0,1673272421232,48047,182912.0,404.0,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272767963,14673,,343.0,inf,343.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272787663,34373,,931.0,inf,931.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272823383,70093,,805.0,inf,805.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272828539,75249,,298.0,inf,298.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272830904,77614,,805.0,inf,805.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272855264,101974,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272885431,132141,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272921736,168446,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272946697,193407,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272951213,197923,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272959353,206063,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272968059,214769,,550.0,inf,550.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,0,1673272992527,239237,,532.0,inf,532.0,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264184683,21309,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264187416,24042,310537.0,5.0,5.0,5.0,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264208458,45084,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264228897,65523,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264234556,71182,310537.0,29.0,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264277386,114012,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264315362,151988,310537.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264320921,157547,310537.0,30.0,30.0,30.0,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264428016,264642,310537.0,23.0,23.0,23.0,1000.0,,,,
vbs23-kis-t6,VIREO,0,1673264450763,287389,310537.0,21.0,21.0,21.0,1000.0,,,,
vbs23-kis-v1,VIREO,1,1673259630644,17331,48547.0,95.0,185.0,95.0,1000.0,,,,
vbs23-kis-v1,VIREO,1,1673259635440,22127,48547.0,50.0,inf,50.0,1000.0,,,,
vbs23-kis-t1,VIREO,1,1673260387845,14984,166258.0,2.0,inf,inf,1000.0,,,,
vbs23-kis-t1,VIREO,1,1673260393130,20269,166258.0,1.0,inf,inf,1000.0,,,,
vbs23-kis-t1,VIREO,1,1673260411060,38199,166258.0,2.0,inf,inf,1000.0,,,,
vbs23-kis-t1,VIREO,1,1673260452433,79572,166258.0,3.0,inf,inf,1000.0,,,,
vbs23-kis-t1,VIREO,1,1673260509614,136753,166258.0,3.0,6.0,6.0,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673260925987,29343,,834.0,834.0,834.0,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673261024479,127835,,431.0,431.0,431.0,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673261068655,172011,,322.0,322.0,322.0,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673261114619,217975,,639.0,639.0,639.0,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673261189888,293244,,inf,inf,inf,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673261202200,305556,,146.0,146.0,146.0,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673261294982,398338,,146.0,146.0,146.0,1000.0,,,,
vbs23-kis-t2,VIREO,1,1673261305710,409066,,141.0,141.0,141.0,1000.0,,,,
vbs23-kis-v-m1,VIREO,1,1673270890501,15646,42991.0,26.0,132.0,26.0,1000.0,,,,
vbs23-kis-v-m2,VIREO,1,1673271263767,13405,109979.0,835.0,835.0,835.0,1000.0,,,,
vbs23-kis-v-m3,VIREO,1,1673271631953,8296,100649.0,117.0,inf,117.0,1000.0,,,,
vbs23-kis-v-m3,VIREO,1,1673271639283,15626,100649.0,57.0,216.0,57.0,1000.0,,,,
vbs23-kis-v-m3,VIREO,1,1673271645529,21872,100649.0,86.0,405.0,86.0,1000.0,,,,
vbs23-kis-v-m3,VIREO,1,1673271651381,27724,100649.0,111.0,332.0,111.0,1000.0,,,,
vbs23-kis-v-m3,VIREO,1,1673271667738,44081,100649.0,42.0,inf,42.0,1000.0,,,,
vbs23-kis-v-m3,VIREO,1,1673271696078,72421,100649.0,40.0,inf,40.0,1000.0,,,,
vbs23-kis-v-m4,VIREO,1,1673272386874,13689,182912.0,825.0,inf,inf,1000.0,,,,
vbs23-kis-v-m4,VIREO,1,1673272474445,101260,182912.0,188.0,188.0,188.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673272763850,10560,,801.0,inf,801.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673272784623,31333,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673272815547,62257,,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673272866657,113367,,554.0,inf,554.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673272877518,124228,,551.0,inf,551.0,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673272971911,218621,,198.0,198.0,198.0,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278561178,14937,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278567991,21750,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278574491,28250,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278582047,35806,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278583865,37624,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278587332,41091,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278591950,45709,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278593180,46939,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278594411,48170,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278595633,49392,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278596833,50592,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278597981,51740,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278599188,52947,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278651671,105430,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v-m5,VIREO,1,1673273017093,263803,,728.0,728.0,728.0,1000.0,,,,
vbs23-kis-v2,VIREO,1,1673276083521,87373,260417.0,inf,inf,inf,1000.0,,,,
vbs23-kis-v5,VIREO,1,1673278653312,107071,177801.0,inf,inf,inf,1000.0,,,,
vbs23-kis-t5,VIREO,1,1673262855811,29199,122345.0,386.0,inf,inf,1000.0,,,,
vbs23-kis-t5,VIREO,1,1673262876478,49866,122345.0,201.0,201.0,201.0,1000.0,,,,
vbs23-kis-t5,VIREO,1,1673262886464,59852,122345.0,180.0,inf,inf,1000.0,,,,
vbs23-kis-t5,VIREO,1,1673262917964,91352,122345.0,6.0,inf,inf,1000.0,,,,
