task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,max_rank,category,type,value,additionals
vbs23-kis-v2,VISIONE,0,1673276015800,19652,111811.0,738.0,inf,738.0,10000.0,TEXT,jointEmbedding > ,a woman with blond hair and white dress and a hairdresser with hairspray in her hand > occur=and > textualMode=all > simReorder=false,{}
vbs23-kis-v1,VISIONE,0,1673259629038,15725,24839.0,1.0,4.0,1.0,10000.0,TEXT,jointEmbedding > ,a black person with a purple dress and a white hat jumping in a gym. > occur=and > textualMode=all > simReorder=false,{}
vbs23-kis-t1,VISIONE,0,1673260398800,25939,64933.0,1.0,1.0,1.0,10000.0,TEXT,jointEmbedding > ,"kids in kayaks on a river, throwing paddles through three coloroured hoops placed over the water > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t2,VISIONE,0,1673260919251,22607,75783.0,25.0,25.0,25.0,10000.0,TEXT,jointEmbedding > ,Hands of a kid applying glue to an egg cartoon and then a view of a sculpture made of those cartoons. > occur=and > textualMode=all > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261417774,16475,,149.0,332.0,149.0,10000.0,TEXT,jointEmbedding > ,A view through the glass roof of a lift cabin while it is moving upwards. > occur=and > textualMode=all > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261479231,77932,,161.0,162.0,161.0,10000.0,TEXT,jointEmbedding > ,A view through the glass roof of a lift cabin while it is moving upwards. > Temporal_query 1 > occur=and > textualMode=all > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261479231,77932,,161.0,162.0,161.0,10000.0,TEXT,jointEmbedding > ,"The walls of the lift shaft are visible at the left and top, and are also made of glass. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t3,VISIONE,0,1673261551809,150510,,55.0,56.0,55.0,10000.0,TEXT,jointEmbedding > ,A view through the glass roof of a lift cabin while it is moving upwards. > Temporal_query 1 > occur=and > textualMode=all > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261551809,150510,,55.0,56.0,55.0,10000.0,TEXT,jointEmbedding > ,"The wires carrying the lift are visible in the center, while another standing lift cabin is visible on the right. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t3,VISIONE,0,1673261718394,317095,,23.0,23.0,23.0,9902.0,TEXT,jointEmbedding > ,A view through the glass roof of a lift cabin while it is moving upwards. > Temporal_query 1 > occur=and > textualMode=cl > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261718394,317095,,23.0,23.0,23.0,9902.0,TEXT,jointEmbedding > ,"The wires carrying the lift are visible in the center, while another standing lift cabin is visible on the right. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t3,VISIONE,0,1673261727101,325802,,31.0,32.0,31.0,6002.0,TEXT,jointEmbedding > ,A view through the glass roof of a lift cabin while it is moving upwards. > Temporal_query 1 > occur=and > textualMode=cv > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261727101,325802,,31.0,32.0,31.0,6002.0,TEXT,jointEmbedding > ,"The wires carrying the lift are visible in the center, while another standing lift cabin is visible on the right. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t3,VISIONE,0,1673261776017,374718,,38.0,39.0,38.0,5955.0,TEXT,jointEmbedding > ,A view through the glass roof of a lift cabin while it is moving upwards. The lift is made of glass > Temporal_query 1 > occur=and > textualMode=cv > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261776017,374718,,38.0,39.0,38.0,5955.0,TEXT,jointEmbedding > ,"The wires carrying the lift are visible in the center, while another standing lift cabin is visible on the right. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t3,VISIONE,0,1673261792783,391484,,12.0,13.0,12.0,5760.0,TEXT,jointEmbedding > ,a glass roof lift moving upwards > Temporal_query 1 > occur=and > textualMode=cv > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261792783,391484,,12.0,13.0,12.0,5760.0,TEXT,jointEmbedding > ,"The wires carrying the lift are visible in the center, while another standing lift cabin is visible on the right. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t3,VISIONE,0,1673261813315,412016,,70.0,71.0,70.0,10000.0,TEXT,jointEmbedding > ,a glass roof lift moving upwards > Temporal_query 1 > occur=and > textualMode=all > simReorder=false,{}
vbs23-kis-t3,VISIONE,0,1673261813315,412016,,70.0,71.0,70.0,10000.0,TEXT,jointEmbedding > ,"The wires carrying the lift are visible in the center, while another standing lift cabin is visible on the right. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t4,VISIONE,0,1673262338772,16017,110529.0,52.0,52.0,52.0,10000.0,TEXT,jointEmbedding > ,"A two-masted sailing ship leaves a harbor, moving right behind a stone well and a white light beacon. > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t4,VISIONE,0,1673262398871,76116,110529.0,16.0,16.0,16.0,10000.0,TEXT,jointEmbedding > ,"A two-masted sailing ship leaves a harbor, moving right behind a stone well and a white light beacon. > Temporal_query 1 > occur=and > textualMode=all > simReorder=false",{}
vbs23-kis-t4,VISIONE,0,1673262398871,76116,110529.0,16.0,16.0,16.0,10000.0,TEXT,jointEmbedding > ,There are mountains in the background and the Sun is behind clouds. > Temporal_query 2 > occur=and > textualMode=all > simReorder=false,{}
