task,team,user,timestamp,elapsed_since_task_start_ms,correct_submission_time_ms,rank_video,rank_shot_margin_0,rank_shot_margin_5,category,type,value,additionals,max_rank
vbs23-kis-v1,vitrivr-VR,0,1673259638599,30286,171058.0,inf,inf,inf,mlclip,TEXT,man in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259676512,68199,171058.0,4441.0,inf,inf,visualtextcoembedding,TEXT,man in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,1,1673259678971,70658,171058.0,inf,inf,inf,mlclip,TEXT,man in blue shirt doing backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259716531,108218,171058.0,74.0,834.0,834.0,mlclip,TEXT,man wearing american flag in a sports hall doing a backflip,,
vbs23-kis-v1,vitrivr-VR,0,1673259745302,136989,171058.0,62.0,189.0,189.0,mlclip,TEXT,a man in a white shirt and blue pants dancing in a sports hall,,
vbs23-kis-v1,vitrivr-VR,1,1673259849591,241278,171058.0,643.0,665.0,665.0,ocr,TEXT,pst,,
vbs23-kis-t1,vitrivr-VR,0,1673260399966,32105,213029.0,3.0,7.0,7.0,mlclip,TEXT,children en cayaks in a river throwing paddles,,
vbs23-kis-t1,vitrivr-VR,1,1673260403786,35925,213029.0,534.0,534.0,534.0,mlclip,TEXT,children in kaya on the river,,
vbs23-kis-t1,vitrivr-VR,1,1673260407137,39276,213029.0,534.0,534.0,534.0,mlclip,TEXT,children in kaya on the river,,
vbs23-kis-t1,vitrivr-VR,1,1673260419456,51595,213029.0,7.0,7.0,7.0,mlclip,TEXT,children in kayaks on the river,,
vbs23-kis-t1,vitrivr-VR,0,1673260457449,89588,213029.0,2.0,8.0,8.0,mlclip,TEXT,children  in cayaks in a river with coloured hoops,,
vbs23-kis-t1,vitrivr-VR,0,1673260468105,100244,213029.0,2.0,8.0,8.0,mlclip,TEXT,children  in cayaks in a river with coloured hoops,,
vbs23-kis-t1,vitrivr-VR,1,1673260496750,128889,213029.0,inf,inf,inf,mlclip,TEXT, with hoops,,
vbs23-kis-t1,vitrivr-VR,1,1673260516184,148323,213029.0,16.0,123.0,123.0,mlclip,TEXT, kayaks with hoops,,
vbs23-kis-t1,vitrivr-VR,0,1673260542021,174160,213029.0,11.0,11.0,11.0,mlclip,TEXT,children in red cayaks with red paddles,,
vbs23-kis-t1,vitrivr-VR,1,1673260585660,217799,213029.0,718.0,1100.0,1100.0,mlclip,TEXT, children throwing red paddles,,
vbs23-kis-t2,vitrivr-VR,0,1673260922300,30656,,295.0,295.0,295.0,mlclip,TEXT,a sculpture made of egg cartons,,
vbs23-kis-t2,vitrivr-VR,1,1673260938681,47037,,3508.0,3508.0,3508.0,mlclip,TEXT,hand with glue,,
vbs23-kis-t2,vitrivr-VR,0,1673260977165,85521,,14.0,14.0,14.0,mlclip,TEXT, glueing and egg carton ,,
vbs23-kis-t2,vitrivr-VR,0,1673261023485,131841,,73.0,73.0,73.0,mlclip,TEXT,green and turuoise egg cartons,,
vbs23-kis-t2,vitrivr-VR,0,1673261049217,157573,,inf,inf,inf,mlclip,TEXT,a child holding a brush,,
vbs23-kis-t2,vitrivr-VR,0,1673261072968,181324,,2077.0,2077.0,2077.0,mlclip,TEXT,a child holding a brush with a jar of glue,,
vbs23-kis-t2,vitrivr-VR,0,1673261110708,219064,,2272.0,inf,inf,mlclip,TEXT,a child painting an eg carton,,
vbs23-kis-t2,vitrivr-VR,1,1673261149050,257406,,3508.0,3508.0,3508.0,mlclip,TEXT,hand with glue,,
vbs23-kis-t2,vitrivr-VR,0,1673261180974,289330,,282.0,282.0,282.0,mlclip,TEXT,a paint brush and an egg carton,,
vbs23-kis-t2,vitrivr-VR,0,1673261215725,324081,,inf,inf,inf,mlclip,TEXT,a jar of white glue,,
vbs23-kis-t2,vitrivr-VR,1,1673261257537,365893,,inf,inf,inf,mlclip,TEXT,hand with glue > a child holding a brush,,
vbs23-kis-t2,vitrivr-VR,0,1673261260300,368656,,3051.0,3051.0,3051.0,mlclip,TEXT,a child with a bottle of glue,,
vbs23-kis-t2,vitrivr-VR,0,1673261276549,384905,,1227.0,1227.0,1227.0,mlclip,TEXT,a child with a  jar of glue,,
vbs23-kis-t2,vitrivr-VR,0,1673261298348,406704,,1565.0,1565.0,1565.0,mlclip,TEXT,a child with a mason jar of glue,,
vbs23-kis-t2,vitrivr-VR,1,1673261300755,409111,,inf,inf,inf,mlclip,TEXT,a child holding a brush,,
vbs23-kis-t3,vitrivr-VR,0,1673261440808,44509,93212.0,4.0,inf,inf,mlclip,TEXT,looking up through a glass lift roof,,
vbs23-kis-t3,vitrivr-VR,0,1673261459409,63110,93212.0,51.0,inf,inf,mlclip,TEXT,the glass roof of an elevator,,
